month,pm2_5_caught,pm2_5_escaped,pm10_caught,pm10_escaped,pm2_5_capture_rate,pm10_capture_rate,pm2_5_percent_caught,pm10_percent_caught,pm2_5_mean_rate,pm2_5_std_rate,pm10_mean_rate,pm10_std_rate
January,506,699332,305,299857,0.0007230244713776617,0.0010161179629666647,0.07230244713776617,0.10161179629666647,0.000723398715407186,0.0003589350130162391,0.0010154568945399476,0.0005418929047304478
February,479,699949,300,299272,0.0006838675781093846,0.0010014287049523987,0.06838675781093846,0.10014287049523987,0.0006838917994494459,0.0002901408774780291,0.0010017683123529073,0.0006386488516122683
March,497,699325,271,299907,0.0007101805887782893,0.000902797673380461,0.07101805887782893,0.09027976733804609,0.0007102313547791006,0.00029944014490782727,0.0009030953932602668,0.0005744784366976493
April,500,699556,286,299658,0.0007142285759996343,0.0009535113221134612,0.07142285759996343,0.09535113221134611,0.0007142322563408892,0.00031380872951326924,0.0009538074002500907,0.0004885015875406849
May,498,699143,314,300045,0.0007117936198707623,0.0010454156526023858,0.07117936198707622,0.10454156526023858,0.0007116961489910572,0.00030968466294375616,0.0010444188764170467,0.0005592747929653202
June,502,699458,281,299759,0.0007171838390765187,0.0009365417944274096,0.07171838390765187,0.09365417944274097,0.0007174310555682822,0.00033131331630067073,0.000936122929911092,0.0005858403915538456
July,465,699480,288,299767,0.000664337912264535,0.0009598240322607522,0.0664337912264535,0.09598240322607522,0.0006638449287823136,0.00032298255147819214,0.0009611112537305311,0.0005534687869692187
August,467,700419,284,298830,0.0006662995123315347,0.0009494707703417427,0.06662995123315346,0.09494707703417427,0.0006662141874797088,0.00029725168160817323,0.0009490061239756505,0.0005855626400905262
September,473,699397,292,299838,0.0006758397988197808,0.0009729117382467598,0.06758397988197808,0.09729117382467597,0.0006756509421747658,0.00030653134985259847,0.000972683499054516,0.0005689919743469002
October,497,699865,282,299356,0.0007096330183533658,0.0009411356370019824,0.07096330183533658,0.09411356370019824,0.0007096926930344301,0.000324990625971554,0.0009424458892308943,0.0004914568718801956
November,491,700013,289,299207,0.0007009239062160959,0.0009649544568207923,0.07009239062160959,0.09649544568207923,0.0007009933969296666,0.0003130821375596998,0.0009657015251524463,0.0006118956440527762
December,496,698862,322,300320,0.0007092218863586318,0.0010710413049407601,0.07092218863586318,0.10710413049407601,0.000709430995747401,0.00032523977142726496,0.0010704471758146638,0.0005913827009384332
